Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
FA_Mag,5421.1524057514725,7552.700468412389,3985.8236642703423,4751.667361914484,1272.5809185175553,6716.889459389835,1024.0748394356547,None,844.0112845017529,1367.7833063503585,768.9239467788105,None,None,2662.4837924936523,2509.4404036627966,2031.7990034981708,3387.6330995968183,706.9550082648477,19517.376130474215,8906.024729394538,2066.980639718401,1987.2185522106352,6412.668535841146,3062.1030142314007,1571.157229225368,457.3052877136571,107.83030166105921,6914.38874814708,6784.920531011276,21096.218280489888,None,2453.080020619014,None,1504.3376394699408,424.51545152360177,1933.491707388681,401.43578450489696,878.2030162048708,297.391855296973,2874.7814526026264,152.6056601297883,577.1898590171753,3594.746959031148,643.850291073868,6902.680094927223,2845.8849957193897,18389.408478953555,4944.083242927513,6565.626594519248,None,846.7176100240068,2543.7633520337868,958.2560846002974,2537.9816872767183,7916.367368962197,9849.066170758835,384.76561485931774,1823.9708552987067,None,None,2306.718395731991,1189.2647853570504,511.4350648201969
FA_Tim,4,1,0,11,5,2,0,None,0,13,15,None,None,10,0,20,12,5,11,7,3,27,9,9,0,29,13,9,4,6,None,0,None,0,2,0,0,0,1,8,0,1,4,21,7,14,0,12,17,None,9,0,0,0,9,1,4,5,None,None,0,22,0
FA_Dur,4,6,4,4,4,4,5,None,4,7,4,None,None,5,2,4,5,3,4,4,5,4,4,4,4,5,6,5,5,5,None,3,None,8,7,5,5,3,3,7,5,7,4,6,4,7,7,8,9,None,7,5,5,6,5,9,3,7,None,None,1,5,4
Wet_BFL_Mag_10,1255.777630195628,2117.124462268474,1055.7293721313017,1286.247914901226,84.70305998693426,2407.4445122827083,804.613289806964,1520.361007469,564.9999817262727,None,576.9717224741588,535.9386345760576,1022.6212432960201,None,1464.632288553096,None,3261.1561443582045,497.135581782241,3155.954279126577,1577.5207923210562,849.464918483076,569.6975140633043,1487.966405081561,1970.4432483496603,1045.269883677604,177.31305205349761,None,3906.2909236691494,1067.093823236248,2019.19955201437,472.565491682953,2489.34596380213,1534.6001499539102,1112.6887478581941,484.43498527033967,1035.196691675454,161.80961142231442,584.5107420746428,773.6205655686854,770.2108753784671,749.9732590822764,548.6914718143482,1809.503006238585,287.6522508734352,2694.7849208780517,1115.827231621804,896.1691571286171,2300.298746905111,1245.4674309514,868.2915883959705,851.623248863797,704.8636282891837,826.2507621805546,1034.3362756177848,2086.13912551589,2148.781703149788,295.4003303514746,406.3230050121858,546.001725212764,679.1948668671225,2551.9831965234544,485.9583404633903,587.5483344959636
Wet_BFL_Mag_50,3523.3840123432,4436.0613833453845,3455.0224762694106,1851.65800142201,514.127725723329,6963.036353187785,3583.27225248413,2496.6622630214,2126.67846679752,None,1483.9062026682095,1330.41685095055,2191.12315782728,None,3720.04328818486,None,9406.379971987266,1636.44504215448,6181.895387816814,3539.111655097825,3711.5152673321995,3055.3461713524302,4037.20097385346,4306.160189284879,2145.69807647152,875.3187617200798,None,5129.524171415565,3674.6958270096247,6147.92156006625,881.6052335098345,6008.68264703314,4272.75840769658,4037.4904760521504,1110.47887215875,2607.86221217667,612.607463921539,1307.022714104675,1345.45425879485,1887.49231200864,2708.6115712066103,1015.8339019308451,6080.542526000686,741.6845000938562,8598.18725131496,2281.2495390681893,3697.86009904771,5952.16150145808,2510.19289950299,1938.2274815747298,2837.7820168869202,2795.30476121015,2477.33529461541,2860.709171862405,3831.09957835053,4455.04537144278,887.979568641643,1104.5183049751051,1510.38880258152,1175.159615222595,6587.16296337246,1278.03852563498,1363.5509908118602
Wet_Tim,119,138,139,117,122,136,115,7,130,None,132,19,13,118,129,121,152,126,136,131,132,120,133,131,49,107,130,145,122,150,12,131,6,128,121,19,28,123,50,116,118,29,137,91,150,18,119,148,133,5,122,129,67,137,120,126,112,123,18,15,153,65,110
Wet_BFL_Dur,63,52,39,59,222,58,52,175,35,None,33,160,175,None,62,None,38,41,62,50,49,58,42,47,137,59,None,48,54,53,160,71,206,57,47,173,135,50,138,57,67,128,52,83,49,169,72,52,51,166,41,43,115,36,71,57,57,52,166,170,55,109,58
Peak_2,7606.6869249937,11207.4286141543,5978.21588251063,9217.12326443144,34053.2795046544,11185.151420305601,6943.08409729686,11003.728758051298,5471.66353580936,6183.323623285151,4326.04079472105,10786.6526748388,19631.719158823602,18364.4732194846,7969.37606603461,8731.008073365041,11415.0242516051,4448.572128677721,19517.4185200623,8906.07645875819,5064.07552585519,5532.687799732061,9107.314956522741,8035.176381169979,6840.74102917579,1839.4077303769602,3387.1761610324897,11075.737243851001,8013.088999355791,21096.3992836205,4516.052479857921,11917.6884296713,12533.601311716498,7110.0157895522,4709.57556124305,24952.8842501239,3047.3194687366804,3345.932403092869,4269.55736445303,3782.81041082973,7774.1509962476,3977.6326386791707,9922.124719409001,3548.94319322916,24291.2617722117,17563.1013374291,18389.406492718503,12627.644763575501,8172.1959536530285,8830.15225508931,4390.32006479939,4871.14173034611,7877.130267267259,5409.16976629673,10766.1072086258,10618.3651269336,1962.6954079053894,3997.19505799325,5395.51626284983,7894.90538180278,11938.660619730701,4719.336088324099,4237.40924405856
Peak_5,7606.6869249937,11207.4286141543,5978.21588251063,9217.12326443144,34053.2795046544,11185.151420305601,6943.08409729686,11003.728758051298,5471.66353580936,6183.323623285151,4326.04079472105,10786.6526748388,19631.719158823602,18364.4732194846,7969.37606603461,8731.008073365041,11415.0242516051,4448.572128677721,19517.4185200623,8906.07645875819,5064.07552585519,5532.687799732061,9107.314956522741,8035.176381169979,6840.74102917579,1839.4077303769602,3387.1761610324897,11075.737243851001,8013.088999355791,21096.3992836205,4516.052479857921,11917.6884296713,12533.601311716498,7110.0157895522,4709.57556124305,24952.8842501239,3047.3194687366804,3345.932403092869,4269.55736445303,3782.81041082973,7774.1509962476,3977.6326386791707,9922.124719409001,3548.94319322916,24291.2617722117,17563.1013374291,18389.406492718503,12627.644763575501,8172.1959536530285,8830.15225508931,4390.32006479939,4871.14173034611,7877.130267267259,5409.16976629673,10766.1072086258,10618.3651269336,1962.6954079053894,3997.19505799325,5395.51626284983,7894.90538180278,11938.660619730701,4719.336088324099,4237.40924405856
Peak_10,7606.6869249937,11207.4286141543,5978.21588251063,9217.12326443144,34053.2795046544,11185.151420305601,6943.08409729686,11003.728758051298,5471.66353580936,6183.323623285151,4326.04079472105,10786.6526748388,19631.719158823602,18364.4732194846,7969.37606603461,8731.008073365041,11415.0242516051,4448.572128677721,19517.4185200623,8906.07645875819,5064.07552585519,5532.687799732061,9107.314956522741,8035.176381169979,6840.74102917579,1839.4077303769602,3387.1761610324897,11075.737243851001,8013.088999355791,21096.3992836205,4516.052479857921,11917.6884296713,12533.601311716498,7110.0157895522,4709.57556124305,24952.8842501239,3047.3194687366804,3345.932403092869,4269.55736445303,3782.81041082973,7774.1509962476,3977.6326386791707,9922.124719409001,3548.94319322916,24291.2617722117,17563.1013374291,18389.406492718503,12627.644763575501,8172.1959536530285,8830.15225508931,4390.32006479939,4871.14173034611,7877.130267267259,5409.16976629673,10766.1072086258,10618.3651269336,1962.6954079053894,3997.19505799325,5395.51626284983,7894.90538180278,11938.660619730701,4719.336088324099,4237.40924405856
