Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
FA_Mag,3375.743080083427,10741.485165899787,9122.12902064495,13374.43026213005,1297.5352962157278,9708.921938634741,2398.710465082733,None,1057.1708153266948,706.1287807547967,1865.429412339455,None,None,3602.150274522316,6438.919700774833,1450.5449845182961,13177.137512726289,862.2920325640414,52063.812536744386,13177.687384416078,2310.0688977246336,None,17170.449302634355,2591.088888102075,2675.243283959031,None,88.22699394801634,None,27418.74509695838,62969.026934168476,None,6681.971433644785,None,3295.2133217815735,538.2997764168288,3926.66937739204,664.970732684461,1921.8481532463622,526.3739324115932,None,124.20015352492547,480.055123191956,7321.624681209172,None,12762.308165631297,None,44175.50288016528,None,None,None,2322.9262578952016,5339.5645822132965,1715.2975610222295,1226.0610356813502,13007.453009462084,28540.347895041115,616.2152243636474,6869.990601419887,None,None,3873.3627494872394,None,351.42092575500783
FA_Tim,4,1,0,11,4,2,1,None,0,13,15,None,None,10,0,0,11,5,12,1,3,None,9,0,0,None,13,None,5,6,None,0,None,0,2,0,0,0,1,None,0,0,4,None,7,None,0,None,None,None,9,0,0,0,9,1,4,5,None,None,0,None,0
FA_Dur,5,6,5,4,6,4,4,None,3,7,5,None,None,8,6,3,4,3,5,2,5,None,4,6,5,None,5,None,5,5,None,4,None,8,7,7,5,7,8,None,5,9,3,None,4,None,8,None,None,None,8,5,3,6,5,9,4,4,None,None,1,None,4
Wet_BFL_Mag_10,381.417919118738,1826.7025400822672,542.3426585896955,1354.847568794501,6.238655213833913,None,293.48364479270316,2033.5900136851,114.447043665649,None,None,127.4436295437205,0.0,None,None,None,1233.0931744791449,330.80651576717753,None,None,624.4611712418891,36.398479656267554,1968.7160280832218,1046.3743376658779,833.0624956043637,180.9017565051814,0.0008999304887661472,2229.6635757604604,2461.486552619207,None,None,1650.69718203447,3981.575167672875,974.5800050824848,561.359851328424,751.2131318172397,37.33112973284472,None,292.0986203277939,600.6461881502028,23.822706216261242,12.549827553440199,None,29.4511334163015,2208.446282387194,1824.4535993255527,None,1805.09263850725,349.7610063697067,260.64367694728514,784.0500683982704,None,400.94917921031697,420.19956365245,1470.1647294976199,1315.788437136074,28.645822370570322,None,581.6297223200099,None,1667.895099789122,3.1301013173369574,243.959280276239
Wet_BFL_Mag_50,962.9121211360366,3430.9260167446346,1392.7414110978148,2828.888231445465,219.9423282073345,None,525.4799413895385,4089.9743387367903,3571.0163287045348,None,None,2874.68970044922,6908.48886538598,None,None,None,6348.579183880451,719.095650028994,None,None,1088.9295404849001,351.2633018103255,4649.98972664852,1593.2681238733096,1583.215140543175,313.841913132017,12.588771687576699,3968.90153844247,5561.762313585215,None,None,4432.56414542992,9589.246224353656,1540.53999323118,761.5543069642322,3600.7307772353,786.545462137671,None,909.770051020034,891.055739038737,1645.1519377907998,493.681801624664,None,529.0355543548995,9502.53533947951,4145.20485072305,None,3270.2096750274,3209.2079691782,3122.969677469695,1356.8399858765401,None,816.495068543157,662.877087216045,2791.60926467775,5311.67419896109,637.8108977338065,None,875.72912010758,None,2433.80001453718,91.28861868471373,866.4527024837289
Wet_Tim,4,115,90,24,90,None,21,7,21,None,47,19,12,111,7,4,52,13,None,None,107,5,21,42,11,22,104,1,31,None,12,8,6,22,48,19,28,93,22,2,48,25,None,14,53,7,10,4,8,6,30,None,51,41,40,49,27,None,16,7,120,14,75
Wet_BFL_Dur,156,68,76,42,254,None,112,76,18,None,None,20,14,None,None,None,18,58,None,None,54,326,19,117,136,109,262,37,52,None,None,91,64,147,109,29,43,None,60,145,29,23,None,36,29,47,None,176,33,54,119,None,69,111,111,49,34,None,114,None,59,325,61
Peak_2,4960.93135645525,16876.2678257593,9122.12433475057,17738.7562864712,92143.2138025317,24691.9451912778,7384.07858091917,26697.867030973706,11606.9639485527,7231.234609811,2362.30085207198,9796.11770184798,50301.1433768922,65550.0692070151,20960.0222730174,26555.8300773831,25165.9760461036,5228.36242791323,52063.8799124459,26574.1772657673,3761.18610792423,3542.9573776515003,21431.085836153798,15970.3005814679,7669.75144108619,3638.9641852970703,5130.43079646557,20559.0081216727,27418.7809290103,62969.168904792,11074.3834956747,41377.1605850572,29680.2649089949,7644.136419374549,6767.748703906221,83496.5296617019,6783.7867524206285,2149.40450803962,7108.83362040104,8740.45976903819,7251.10280554958,1771.6863311393,16369.068604176899,6266.75448864766,72857.3431673964,40142.8676579241,44175.5231571652,21230.693949848897,19903.6203161558,18167.7321454065,11019.431182278799,11674.726922354099,4936.00593658406,7383.69901765456,15575.1775686848,28540.321988826894,7822.73784144659,6869.992833335489,6477.40816749434,25064.7405513513,9901.503898915,5379.34266100414,6493.56306419276
Peak_5,4960.93135645525,16876.2678257593,9122.12433475057,17738.7562864712,92143.2138025317,24691.9451912778,7384.07858091917,26697.867030973706,11606.9639485527,7231.234609811,2362.30085207198,9796.11770184798,50301.1433768922,65550.0692070151,20960.0222730174,26555.8300773831,25165.9760461036,5228.36242791323,52063.8799124459,26574.1772657673,3761.18610792423,3542.9573776515003,21431.085836153798,15970.3005814679,7669.75144108619,3638.9641852970703,5130.43079646557,20559.0081216727,27418.7809290103,62969.168904792,11074.3834956747,41377.1605850572,29680.2649089949,7644.136419374549,6767.748703906221,83496.5296617019,6783.7867524206285,2149.40450803962,7108.83362040104,8740.45976903819,7251.10280554958,1771.6863311393,16369.068604176899,6266.75448864766,72857.3431673964,40142.8676579241,44175.5231571652,21230.693949848897,19903.6203161558,18167.7321454065,11019.431182278799,11674.726922354099,4936.00593658406,7383.69901765456,15575.1775686848,28540.321988826894,7822.73784144659,6869.992833335489,6477.40816749434,25064.7405513513,9901.503898915,5379.34266100414,6493.56306419276
Peak_10,4960.93135645525,16876.2678257593,9122.12433475057,17738.7562864712,92143.2138025317,24691.9451912778,7384.07858091917,26697.867030973706,11606.9639485527,7231.234609811,2362.30085207198,9796.11770184798,50301.1433768922,65550.0692070151,20960.0222730174,26555.8300773831,25165.9760461036,5228.36242791323,52063.8799124459,26574.1772657673,3761.18610792423,3542.9573776515003,21431.085836153798,15970.3005814679,7669.75144108619,3638.9641852970703,5130.43079646557,20559.0081216727,27418.7809290103,62969.168904792,11074.3834956747,41377.1605850572,29680.2649089949,7644.136419374549,6767.748703906221,83496.5296617019,6783.7867524206285,2149.40450803962,7108.83362040104,8740.45976903819,7251.10280554958,1771.6863311393,16369.068604176899,6266.75448864766,72857.3431673964,40142.8676579241,44175.5231571652,21230.693949848897,19903.6203161558,18167.7321454065,11019.431182278799,11674.726922354099,4936.00593658406,7383.69901765456,15575.1775686848,28540.321988826894,7822.73784144659,6869.992833335489,6477.40816749434,25064.7405513513,9901.503898915,5379.34266100414,6493.56306419276
Peak_Dur_2,None,3,None,7,8,6,None,18,1,None,None,None,6,14,6,4,12,None,15,14,None,None,7,3,None,None,None,14,16,19,None,24,39,None,None,16,None,None,None,None,None,None,8,None,21,15,11,10,5,6,None,1,None,None,6,12,None,None,None,4,None,None,None
Peak_Dur_5,None,None,None,None,6,None,None,None,None,None,None,None,4,5,None,None,None,None,9,None,None,None,None,None,None,None,None,None,1,9,None,5,3,None,None,10,None,None,None,None,None,None,None,None,5,None,2,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None
Peak_Dur_10,None,None,None,None,4,None,None,None,None,None,None,None,2,2,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,5,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,None,1,None,3,1,1,None,4,1,None,None,None,1,2,2,1,4,None,2,4,None,None,2,1,None,None,None,3,4,3,None,6,5,None,None,2,None,None,None,None,None,None,3,None,5,5,2,3,2,2,None,1,None,None,3,3,None,None,None,1,None,None,None
Peak_Fre_5,None,None,None,None,1,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,None,None,None,None,None,None,None,1,2,None,2,2,None,None,2,None,None,None,None,None,None,None,None,1,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None
Peak_Fre_10,None,None,None,None,1,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
