Year, 1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
FA_Mag,8387.581052633062,12959.724822976357,6349.1150912074345,8252.771403277276,2579.7657732439748,11406.173202215006,2180.892732453212,None,1589.1936666213696,None,None,None,None,4347.52563337659,4784.279244113739,2867.986624518609,7493.8252047793285,1134.587020335553,39049.603365721014,9269.308838766892,3163.901776812758,None,11487.857280542083,3262.760761948462,4011.3784778713793,892.7611677041904,121.76337917529759,13919.925617051114,14406.457362893985,45617.4443767847,None,6640.009706102982,None,3301.593911512553,640.1379109977922,4108.6348488468075,568.7395734198675,2094.0842440941287,565.1875485358963,6503.891571962307,184.37021031781214,1509.4818471734081,7907.673386004415,None,13775.622252587753,None,36759.35525153324,9169.903200834342,None,None,1361.0642694993219,4712.4575605794935,1789.440299496154,4168.143277511137,15438.5720748996,18377.503452021796,548.7303556007353,4627.6741014325,None,None,4207.64768721775,None,895.9150201202424
FA_Tim,4,1,0,11,4,2,1,None,0,None,None,None,None,10,0,20,12,5,11,1,3,None,9,0,0,28,13,9,5,6,None,0,None,0,2,0,0,0,1,8,0,1,4,None,7,None,0,12,None,None,9,0,0,0,9,1,4,5,None,None,0,None,0
FA_Dur,5,6,4,4,6,4,4,None,3,None,None,None,None,9,7,4,5,3,4,2,5,None,4,2,5,10,5,5,5,5,None,4,None,7,6,6,5,7,9,6,5,9,3,None,4,None,7,8,None,None,8,5,5,6,5,9,4,8,None,None,1,None,4
Wet_BFL_Mag_10,None,3153.295583392224,688.2702951408005,1264.61884515666,54.214437926063184,1681.4306502675845,766.4814213633041,2465.707068430485,597.583115717222,899.8602947881467,343.389466862175,1008.5637309408451,1528.389377627848,None,None,None,3749.6749655716358,47.075963364118536,None,None,1406.28296898961,358.3127720530199,1366.9702174106778,1803.048651321482,1130.20374784081,253.94182815792658,None,2681.690612420838,1634.743322125302,2124.233554018968,None,3220.2543902671896,3341.0176051743697,1292.6948854638601,693.9920035414224,1046.315961804138,382.0656215700395,635.9813845851353,442.65145390298204,838.7919600635325,1148.370877800756,838.9036167882812,3635.877802531864,227.48368572834613,2598.4561525155523,2204.2621306489154,None,4136.525462062168,1458.851342118497,242.4584968999938,739.298030037563,None,764.2533273247376,1108.903347150758,3260.544142963206,3408.96984717824,131.433312268663,512.9889290892829,946.365811821694,988.1839774355643,2815.910225497265,15.225333452541324,453.6630266379051
Wet_BFL_Mag_50,None,4943.69007286217,1973.9796352376002,2480.6673153703296,559.782492565699,3635.8642895263,1645.6099379273,3969.898004790495,1197.403619720845,1422.0704955629699,854.920056704948,1952.1580740151599,3185.6130118696,None,None,None,7267.318075118059,375.445623192537,None,None,2523.69545108879,643.3898246017566,3069.4908371600104,3832.9033705489705,2830.55115729818,659.437601047092,None,4335.729152243351,3325.678683431555,14189.5432127925,None,5203.792635122194,6635.00918430003,2854.27444582399,959.4861467353351,4232.360040255806,926.581905627427,1396.6934401129351,1837.24829036486,1660.8887106309999,2276.67630909217,1464.583797963075,6144.8741987598,844.9949518298125,9378.414002195508,3474.370039507655,None,6523.466680229905,2374.6429298714297,3808.78663662216,1518.49416875233,None,2852.9965550000293,1625.9366641759,6547.67095813213,4933.37269258422,806.9539070283562,2002.323537385365,1746.3276991069897,2053.81047809176,4626.69628823702,260.04596543026,1487.879221872485
Wet_Tim,None,127,90,18,87,90,21,6,21,6,7,19,12,94,116,107,146,118,None,None,107,10,19,123,10,82,101,49,96,34,12,32,6,121,50,19,28,93,41,87,47,29,136,12,53,7,None,137,8,5,30,129,61,120,118,49,22,114,17,6,128,16,75
Wet_BFL_Dur,None,63,86,146,257,83,113,174,136,152,153,156,85,None,None,None,43,233,None,None,56,144,150,47,151,53,None,137,78,15,None,146,186,49,110,30,126,74,91,70,115,120,42,140,29,136,None,48,162,55,125,None,59,42,22,131,131,58,126,178,56,323,62
Peak_2,13305.006157508602,14346.4825842969,8951.88102319548,15260.822779516102,71886.99984467191,19579.1059316201,14988.675250908402,21516.812529682902,9820.39946549837,11043.161704831298,3873.70253498626,20397.3152296698,45291.5870013639,41029.9126171996,14116.0922550331,18475.2835237395,16733.636708148402,5234.82188254452,39049.6777289172,17174.810604958002,6645.740050154611,6356.17643624086,15898.7223948353,17121.0630229538,9244.228395941793,3538.4975990707703,5763.6337553449,21502.645224272,14406.486413628301,45617.7862430879,9979.815566571751,36521.9976290774,22924.0066782256,6629.84045498326,5664.278003895401,47589.0378492139,6044.72459980098,3554.1374239779493,6184.409815272061,6504.12982154116,8800.52665230569,6000.40506847756,14816.7643143147,5530.87252423298,53693.1384178992,33864.4253278567,36759.3648299806,20501.832764919298,15909.0037752555,17338.4520867295,7793.3896417920705,9480.69927917505,15349.585006123101,9645.99395057729,17778.093820871498,22432.450428442906,5386.43539195215,5097.40391795225,12652.993623057,15969.2000201508,15609.759713664,8634.97662544058,8154.410514945859
Peak_5,13305.006157508602,14346.4825842969,8951.88102319548,15260.822779516102,71886.99984467191,19579.1059316201,14988.675250908402,21516.812529682902,9820.39946549837,11043.161704831298,3873.70253498626,20397.3152296698,45291.5870013639,41029.9126171996,14116.0922550331,18475.2835237395,16733.636708148402,5234.82188254452,39049.6777289172,17174.810604958002,6645.740050154611,6356.17643624086,15898.7223948353,17121.0630229538,9244.228395941793,3538.4975990707703,5763.6337553449,21502.645224272,14406.486413628301,45617.7862430879,9979.815566571751,36521.9976290774,22924.0066782256,6629.84045498326,5664.278003895401,47589.0378492139,6044.72459980098,3554.1374239779493,6184.409815272061,6504.12982154116,8800.52665230569,6000.40506847756,14816.7643143147,5530.87252423298,53693.1384178992,33864.4253278567,36759.3648299806,20501.832764919298,15909.0037752555,17338.4520867295,7793.3896417920705,9480.69927917505,15349.585006123101,9645.99395057729,17778.093820871498,22432.450428442906,5386.43539195215,5097.40391795225,12652.993623057,15969.2000201508,15609.759713664,8634.97662544058,8154.410514945859
Peak_10,13305.006157508602,14346.4825842969,8951.88102319548,15260.822779516102,71886.99984467191,19579.1059316201,14988.675250908402,21516.812529682902,9820.39946549837,11043.161704831298,3873.70253498626,20397.3152296698,45291.5870013639,41029.9126171996,14116.0922550331,18475.2835237395,16733.636708148402,5234.82188254452,39049.6777289172,17174.810604958002,6645.740050154611,6356.17643624086,15898.7223948353,17121.0630229538,9244.228395941793,3538.4975990707703,5763.6337553449,21502.645224272,14406.486413628301,45617.7862430879,9979.815566571751,36521.9976290774,22924.0066782256,6629.84045498326,5664.278003895401,47589.0378492139,6044.72459980098,3554.1374239779493,6184.409815272061,6504.12982154116,8800.52665230569,6000.40506847756,14816.7643143147,5530.87252423298,53693.1384178992,33864.4253278567,36759.3648299806,20501.832764919298,15909.0037752555,17338.4520867295,7793.3896417920705,9480.69927917505,15349.585006123101,9645.99395057729,17778.093820871498,22432.450428442906,5386.43539195215,5097.40391795225,12652.993623057,15969.2000201508,15609.759713664,8634.97662544058,8154.410514945859
Peak_Dur_2,None,None,None,1,7,4,1,10,None,None,None,4,5,9,None,2,2,None,15,3,None,None,2,2,None,None,None,8,1,14,None,19,21,None,None,14,None,None,None,None,None,None,1,None,16,8,10,4,1,2,None,None,1,None,4,9,None,None,None,2,2,None,None
Peak_Dur_5,None,None,None,None,6,None,None,1,None,None,None,None,4,5,None,None,None,None,9,None,None,None,None,None,None,None,None,None,None,10,None,8,3,None,None,10,None,None,None,None,None,None,None,None,7,1,2,None,None,None,None,None,None,None,None,2,None,None,None,None,None,None,None
Peak_Dur_10,None,None,None,None,4,None,None,None,None,None,None,None,2,1,None,None,None,None,2,None,None,None,None,None,None,None,None,None,None,2,None,None,None,None,None,4,None,None,None,None,None,None,None,None,3,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Peak_Fre_2,None,None,None,1,1,1,1,3,None,None,None,1,1,2,None,1,1,None,2,2,None,None,1,1,None,None,None,3,1,3,None,6,5,None,None,2,None,None,None,None,None,None,1,None,4,4,2,2,1,1,None,None,1,None,2,3,None,None,None,1,1,None,None
Peak_Fre_5,None,None,None,None,1,None,None,1,None,None,None,None,1,1,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,2,None,3,2,None,None,2,None,None,None,None,None,None,None,None,2,1,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None
Peak_Fre_10,None,None,None,None,1,None,None,None,None,None,None,None,1,1,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,1,None,None,None,None,None,1,None,None,None,None,None,None,None,None,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
SP_Mag,2268.2436344079897,9045.79833147714,3956.35691183886,4957.3660770967,71886.99984467191,7315.098902289241,6052.97895916011,5476.91644376794,3053.92897149974,3544.21962986748,2776.1431413958503,5561.843143947789,13180.565435679198,17005.6385440451,14116.0922550331,18475.2835237395,8865.92243788725,5234.82188254452,11975.473147368,14747.298517225501,4232.49532116576,6356.17643624086,5398.72842302581,4925.414408043221,6352.47342352883,1662.47302798844,5763.6337553449,5436.3152172735,6342.76816407806,21347.9533928311,9979.815566571751,11695.8153716101,9975.08700605349,4481.626876258761,3700.4441509279,28796.3537840733,1401.20572823107,1945.5142601324399,2828.05014258625,2754.7002689889,5726.315369562391,2608.03264524242,8732.64218587387,3491.24613943145,23279.4210803466,4106.15479191211,36759.3648299806,8808.41098652248,4550.733735946479,11907.1022105272,4531.16862322395,8746.022414744,4513.28953519623,4010.12342863891,11925.746620773602,6834.69498428961,1569.03699878043,4009.63818258575,4127.53901085892,5123.06911467633,9779.391145476391,8634.97662544058,4954.00196146303
SP_Tim,180,190,176,164,344,173,134,180,157,158,160,175,97,None,None,None,189,351,189,55,163,154,169,170,161,135,None,186,174,49,None,178,192,170,160,49,154,167,132,157,162,149,178,152,82,143,0,185,170,60,155,None,120,162,140,180,153,172,143,184,184,339,137
SP_Dur,44,61,62,60,None,58,83,41,125,63,68,56,120,None,None,None,53,None,56,154,74,62,60,67,76,69,None,40,50,182,None,57,59,70,65,171,52,68,89,76,76,29,66,48,156,79,None,65,55,150,72,None,112,69,105,51,68,69,80,54,60,None,92
SP_ROC,0.032320951232413714,0.03571293830618562,0.03416232472361517,0.031761016156949096,None,0.03444501253923718,0.03538778246063945,0.035034382496361836,0.03344663814467805,0.03727154387878531,0.042474888854047835,0.0319722458178354,0.04057837978479654,None,None,None,0.047798718449543635,None,0.037812892641778846,0.03257125657793325,0.04113061419762794,0.030203378252105048,0.032279193077383875,0.0327775025013808,0.038647110156993514,0.035072724490526,None,0.03703604826975799,0.02962408055787063,0.034235619252831195,None,0.03699661988348556,0.03484463971829638,0.035631784448215895,0.04102149389507979,0.03273763540050646,0.03396234672940757,0.036995528774959756,0.03405616592697283,0.03803697842879469,0.03177660548053532,0.07314902564919015,0.030276179101435204,0.03220649182292149,0.04942351943902827,0.03986766949849157,None,0.03648315530206912,0.03315572829121826,0.0350122214066395,0.03311692797802142,None,0.04938363769182007,0.03165992296295408,0.038801411417841165,0.034376566839595446,0.03494803095568419,0.03325383922076178,0.03330075239580365,0.031522694132398395,0.03483379963025066,None,0.041914992588272894
DS_Mag_50,1718.91177810373,606.984983492539,101.53223661198149,400.077708828546,777.7142460125708,191.4054094897125,125.58613637652901,162.28198051227702,35.586523332102246,122.9270834839995,89.05950808839759,60.578550109092504,360.7735123730009,1354.58543228331,747.2152702002059,1409.65959873522,487.00716371312996,None,None,612.5408191327281,154.12645741939698,327.306210186341,1322.14655471783,144.978764614629,209.796062987975,71.43007725203171,104.2681244354525,698.865888799721,283.3798828249535,141.40670074364,538.065547558816,1877.8303527563198,1618.11026692426,319.049493369008,293.2941715817385,81.63038713856089,226.64912340439997,88.5018726364771,204.052639787428,46.255561392951904,139.839145738094,744.3152275357185,142.31487000852002,485.502322468181,242.64713400661896,None,1010.69580849888,256.4220245859315,70.01963153417324,83.70001961199318,841.5598892004546,332.395350409426,660.75975609154,1583.71907992051,331.766123075427,167.051967401349,149.4974709336,95.16754058856104,75.4266012990948,1504.4121144984447,149.761673354931,303.582410965482,110.72633328404149
DS_Mag_90,5035.817913836126,2224.550159093489,650.0190201244145,1613.457316720866,6799.3462382924245,508.6605904661915,682.6596822621424,648.9090345519915,346.8041891561687,560.4325902758803,496.1321974438825,366.62833480072806,1649.460078698089,5042.071409744174,2536.96616505226,6962.194381230662,1571.4678148692178,None,None,2366.4935820875085,792.1725568910562,1959.9891960528685,4570.657485783191,855.4502511375127,793.946762662528,324.64246208275114,4444.17874260123,5053.25660277215,3351.6580756759,498.5127186538713,4595.755009903551,7655.945166048008,6044.40677380267,1056.35961809231,1483.0939804410677,465.66203711385083,773.710478322958,565.1433887008106,1600.8011269777771,163.94413845196502,580.3731156167225,5073.129372026316,414.1082088243729,4527.948665796391,693.8738309632843,None,7026.268395102891,557.0266268850168,295.78179601939496,405.857993784365,2300.1752908495528,2571.30615990432,2133.89378229776,5433.32113312075,4477.703353257332,468.0538173449171,1411.330734142413,415.6441462125249,369.4233583809972,5737.63892412208,560.634485769903,1160.3729748138119,720.753721695288
