Year,11376150_Eagle_Canyon_Canal_Diversion_Stern,11407000_Oroville_Stern_and_wytypes,11418000_Englebright_Stern_and_wytypes,11420500_Virginia_Ranch_Stern,11425310_Lakewood_Stern,I10801_Cow_Creek_Inflow_to_Sacramento_River_calsim,I10803_Battle_Creek_Inflow_to_Sacramento_River_calsim,I10____New_Melones_Reservoir_Inflow_calsim_and_wytypes,I11001_Paynes_Creek_Inflow_to_Sacramento_River_calsim,I11307_Antelope_Creek_Inflow_to_Sacramento_River_calsim,I11308_Mill_Creek_Inflow_to_Sacramento_River_calsim,I11309_Deer_Creek_Inflow_to_Sacramento_River_calsim,I18____Millerton_Lake_Inflow_calsim_and_wytypes,I20____Lake_McClure_Inflow_calsim_and_wytypes,I52____Hensley_Lake_Inflow_calsim,I53____Eastman_Lake_Inflow_calsim,I81____New_Don_Pedro_Reservoir_Inflow_calsim_and_wytypes,I92____New_Hogan_Reservoir_calsim
FA_Mag,1,0,1,0,0,0,0,0,-1,0,0,0,-1,-1,0,1,0,0
FA_Tim,1,0,1,1,1,1,0,0,0,1,2,2,0,0,1,1,0,0
FA_Dur,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wet_BFL_Mag_10,-3,-6,-3,0,0,-1,-5,-3,0,-1,-6,-7,-1,0,-1,0,-1,-1
Wet_BFL_Mag_50,2,1,3,2,1,0,1,1,0,1,0,2,2,2,0,0,2,0
Wet_Tim,0,0,0,1,0,0,0,-3,1,0,-3,0,-6,-2,2,2,-3,1
Wet_BFL_Dur,-7,-10,-8,-1,-1,-4,-9,-3,0,-1,-7,-10,-1,-3,-2,-4,-2,-3
Peak_2,5,7,6,3,3,4,6,2,3,3,5,7,1,2,2,3,2,2
Peak_5,5,7,6,3,3,4,6,2,3,3,5,7,1,2,2,3,2,2
Peak_10,5,7,6,3,3,4,6,2,3,3,5,7,1,2,2,3,2,2
Peak_Dur_2,2,6,2,0,1,1,3,0,1,3,4,5,-1,0,1,-1,1,0
Peak_Dur_5,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-1,0,0
Peak_Dur_10,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
Peak_Fre_2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
Peak_Fre_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peak_Fre_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP_Mag,5,9,4,2,2,5,5,1,2,3,1,6,0,0,3,3,1,4
SP_Tim,-10,-9,-9,0,-1,-5,-8,-10,0,-3,-10,-10,-9,-8,-1,-1,-10,-2
SP_Dur,0,1,0,0,0,0,1,-2,0,0,-3,0,-2,0,-1,-1,-3,0
SP_ROC,-4,-2,-1,2,0,3,-6,3,1,3,-2,-8,2,1,0,0,4,0
DS_Mag_50,-5,-4,-7,-2,-3,-2,-4,-9,-2,-4,-7,-1,-7,-8,-3,-3,-8,-1
DS_Mag_90,0,2,0,-1,-1,-2,2,-4,-1,-2,0,1,-6,-2,1,1,-4,0
DS_Tim,-8,-10,-8,-1,-2,-8,-10,-8,0,-10,-9,-8,-10,-9,-1,-1,-9,-3
DS_Dur_WS,5,8,10,1,2,9,7,4,3,7,8,9,1,3,4,5,2,2
Avg,-1,2,1,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0
Std,2,6,4,2,1,2,3,2,1,1,6,4,0,2,1,1,2,1
CV,10,8,10,7,6,10,10,8,5,9,10,10,7,8,7,7,7,8
DS_No_Flow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
